Msg,Label
"Hello Vi customer! 
 Visit Vi reward store to claim your vouchers choose from zomato, myntra, cult.fit & more only for Vi customers, to explore simply click https://viapp.onelink.me/bSC3/efc3d0ba",spam
 Today,ham
 Most welcome ??,ham
 Wishing everyone wellð,ham
" Tomorrow is Independence Day, please stay relaxedâ¨ï¸",ham
 Okay,ham
 Temperature ?? n the motherboard ribbon cable has to be dissipated,ham
Stay safe! Get yourself vaccinated today! Find available slots at a centre near you & set alerts for available slots. Visit Vi app now. Click bit.ly/Vi_Cowin,spam
 Hi everyone,ham
 I need to call and reset it,ham
 This is one more twist to our misery ??????,ham
 Not feeling well,ham
 No,ham
""" Hello everyone, I am Arvind Singh  the assistant to Mr. Anand Selvakesari, Chief Investment Officer at StockHolding Corporation of India Limited. It's a pleasure to connect with you all.""",ham
 You can mail them,ham
 What happened Shivam,ham
" Team I may login little late today, feeling not well",ham
 Team I sent out an email about mandatory courses to be completed please complete them on priority. Friday is last date and dont wait till Friday as the server will be very busy those who are off shift as well please complete the training today,ham
" Continue to hold, the master will analyze it in detail for you and I will inform youð",ham
 Rejoining,ham
 How r u all,ham
" I was planning to buy the three stocks recommended by the master, but the market is too bad and Ms. Rama asked me not to enter for the time being.",ham
"Men's Fashion rules are out at shoppersstop.com
Click bit.ly/SS_Mn use code OC10K & get FLAT 10% OFF on Rs.2500 + Earn reward points on Men's Apparel & Acc. T&C",spam
" I agree with you. Market reactions to news often occur in advance, and by the time retail investors are aware, it's already too late. We need to learn more technical analysis from the professor as well",ham
 Thank u keerthi??,ham
 The sector with the largest declines is likely still banking stocks,ham
 Ohh yes on the upper left corner,ham
 ?Contact card omitted,ham
 Purchase completed Thank you for the notification,ham
"Get Lifetime FREE Card + 5% Unlimited Cashback with Flipkart Axis Bank Credit Card.
Hurry! Limited Period Offer.

Apply Now:
http://fkrt.it/UZaKXzuuuN",spam
"Trouble managing your family's multiple mobile recharges? Get Vi Family 999 plan - 220GB data, UL Calls, 3000SMS, Disney+ Hotstar Mobile, Amazon Prime, Zee5 + Voot Select + Hungama + Aaj Tak + Sun NXT on Vi Movies & TV VIP. All this @ just Rs1299/mnth for 5 postpaid lines on single bill with single payment. Click https://bit.ly/3k8f5Pk",spam
 BOOM BOOM... nifty will blast today all put holders take back seat today ...bulls,ham
 Hi team please follow this book for switching and good thing about this book is you can practice the topologies in packet tracer,ham
 Not required now,ham
" If the market goes up today, I will sell my stocks in the afternoon.",ham
 Waitingð,ham
"BIGGEST OFFERS@VISHAL
18-19Sep

Rs100 FREE SHOPPING-Use Code REBU1UUYSC
+
Atta 5kg Rs142
Ghee1L 409
TataTea 140OFF
+
FREE GIFT on Rs1000
TnC",spam
 Compared to other countries' markets the trend in our domestic market is still relatively strong.,ham
"Weekend Deals @SMART Point Store,Rs 20 OFF Oreo Choco 300g,Rs 36 OFF Lux Soft Touch Soap 3X150g ,Good Life Cashew 500g Rs 415,Click  bit.ly/2wcq3h3  T&C",spam
 Hi team I will join half hour delay,ham
"Freedom to get Free Fashion !
Buy 2 styles, Get 2 FREE at your favourite Unlimited Fashion Stores.
Watch collection bit.ly/3in3oVe .
T&C",spam
 I am trying,ham
 Hoping for a better situation,ham
 ðTrading records on August 16,ham
"While receiving international call if an Indian number or no number is displayed on your phone, please inform the toll free number 1800110420/1963",spam
" India is all set to celebrate its 78th Independence Day on Thursday, August 15. Preparations to mark this occasion are in full swing.",ham
 A weak CPI report may slightly boost the confidence of Federal Reserve officials that inflation is declining,ham
"Congrats , It's confirmed! Get Cash Loan up to Rs.50,000 at Truebalance. No paperwork, quick approval! Click - http://1kx.in/kA9HAQ - Credit Cardon",spam
 Waiting,ham
 Hi Team,ham
 Listen to Arvind Singhs advice. You can't go wrong,ham
"Ross & Rachel are back! Catch the FRIENDS Reunion with 1 year ZEE5 Premium on Vi Rs405 recharge. Also get 90GB, Unlimited calls for 28 Days! Click bit.ly/Vi-zfr",spam
"Rush! Your favourite Apparel, Fragrance and Footwear at upto 50% OFF only at shoppersstop.com
Click bit.ly/SS_Mn use code OC10K get FLAT 10% OFF on Rs2500. T&C",spam
"Congratulations!On your Digital Recharge,additional 5GB Data credited for 28 Days.Enjoy FREE Movies, Shows, News click bit.ly/35crrjt",spam
"Premium movies only for you! Watch Oru Adaar Love, Anjaam Pathiraa, Solo, Kakshi: Amminippilla, Manorama news & more on Vi Movies & TV app! Click bit.ly/Vi-mv34",spam
"Dear Greencard member,
Your profile seems to be incomplete
Some of your Greencard benefits may be locked due to missing information. Click s.cplry.com/MjEwMjk0MDQ3KzE to review ur membership details & update/confirm your profile to unlock a more rewarding experience.
Thank you!!
Team Pantaloons",spam
 No KK,ham
 Hi Kk,ham
 Will you be able to join,ham
 Brandon has sent an email,ham
"Hello Vi customer, 
   Season of T20! Participate in Vi Play Along, Win a motor bike, smartwatch and much more. Simply Click https://bit.ly/ViPAG",spam
 Good nd went very fast,ham
"FREE DATA ALERT!
Avail 2GB FREE data on your next Airtel Recharge on Airtel Thanks App. Download today, T&C i.airtel.in/free¿2GBdata",spam
 ????,ham
"Pack on 8089XXX424 will expire soon!
To enjoy ad-free music on WYNK for 30 days & 5GB till existing pack validity recharge with Rs98. i.airtel.in/RechargeNow",spam
 ð,ham
 Actually most of us is not in Bangalore,ham
"Eid Mubarak! Stay home, stay safe & enjoy blockbuster movies, live TV shows, news, web-series all on Vi Movies & TV app! Just click bit.ly/Vi-moviess",spam
 ????????,ham
 I look forward to your performance,ham
""" Good morning, investors. It's now the morning session, and letâs first focus on international news.""",ham
LAST DAY Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry !  TnC,spam
 +916232014309.vcf (file attached),ham
" I didnt sent to you, for those who got mail they can reply",ham
 Nice,ham
"Biggest Diwali Offers@
VISHAL

Vegetable Chopper(Mrp599)
70% OFF-Rs179
ONLY TODAY
+
FREE-VIP Trolley,Duffle Bag
+
7.5% SBI Cashback
TnC",spam
" Tracking the overnight US market, on Fridaymorning, Asian markets were trading higher. Japanâs Nikkei 225 jumped 3% to 37,824.34. The Korean index Kospi was up 1.77% at 2,691. However, the Asia Dow was trading 1.88% higher at 3,510.17. The benchmark Chinese index Shanghai Composite fell 0.08% to 2,874.92.",ham
 ?image omitted,ham
"Dear Customer, Triple OFFER: Apply for Flipkart Axis Bank Credit Card. Get 5% Cashback + Rs.1000* Gift Card+ Times Prime Benefits.

http://fkrt.it/QSn22ANNNN",spam
 They tried to reach our did but didnt get any answer from our team,ham
"Women's Day Special at SMART POINT store,B1G1 Mirabelle Facial Mask,B1G1 Spinz Deo 150ml,Save Rs 30 Lakme/Maybelline Kajal 0.35g,Click   bit.ly/390OBbn   T&C",spam
" Add my assistant Rama's WhatsApp, and she will notify you of the stock name and buying and selling points on time at 2",ham
 Hi Team,ham
" Rupee appreciation is driven by various factors, with oil prices and global economic conditions being significant influences. Market adjustments often bring opportunities, such as undervalued stocks becoming ideal for entry. By carefully analyzing market dynamics, we can identify these opportunities and achieve investment growth",ham
""" Good afternoon, investors. The market has closed, and here's a brief summary""",ham
"Kerala Holidays Made Easy!Click to chat with Kerala Tourism WhatsApp guide, Maya.Your personalized journey awaits-click, chat, explore.https://bit.ly/expkerala",spam
"Tickets Booked! 

 Download your M-ticket from https://bmsurl.co/ls9UEXZKXB and show it at the venue entrance to scan and enter.




Here is your Booking ID - WHSTD4K for One (U) on Fri, 26 Mar, 2021 09:50pm, at PVR: Vega City, Bannerghatta Road(AUDI 08), Seats: CLASSIC. - F5, F6, F7

Please note that you don't require physical tickets to enter the venue.


Don't go hungry! Click here to pre-book your meal: https://bmsurl.co/UgWm90u7Za

This transaction can be cancelled up to 20 min(s) before the show as per cinema cancellation policy.

In view of the Covid-19 situation, please follow these safety guidelines: bmsurl.co/TLUlJ3uunN",spam
 ?image omitted,ham
 The US futures market is also showing mixed performance,ham
 Will chk now,ham
You deserve superfast unlimited 5G! Upgrade to a 5G handset & be eligible on recharging with Rs. 239 or above. Click i.airtel.in/5GAWUL,spam
" The S&P 500 Index rose by 0.38% to 5,455.21 points. The Nasdaq Technology Index increased by 0.03% to 17,192.60 points. The Dow Jones Industrial Average climbed by 0.61% to 40,008.39 points. Other major stocks had mixed performances",ham
 Okð,ham
 The stock market will be closed tomorrow. I hope the stock market will perform well on Friday.,ham
"Hello! We are now on Whatsapp! For balance, best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",spam
 This how our kt sessions should be then I received this today fwding as received,ham
"Hi, apply now to avail a Home Loan offer starting at just 6.75%! Hassle-free process. Offer expires soon. Hurry! TnC apply bnkbzr.co/ODFroNwq3J",spam
 PAYTM has risen by 5%ðð,ham
 And try to dibble tap on tht light,ham
 +916232014309.vcf (file attached),ham
"Verify the credentials of unknown callers, investment portals offering high returns and requests for urgent help for money received through Social Media. -RBI",spam
"LIVE: Vedix Weekend Sale!

Shop hair and skin care items @ FLAT Rs. 299

LIMITED PERIOD OFFER!

Shop Now - https://vedix.in/3l33poYZ2-L8GwAhv",spam
 Hi team anyone facing outlook issues ?,ham
 ??,ham
 What Fibonacci retracement levels should I use?,ham
 Okay Jerold,ham
 Please avoid these last min surprises,ham
 Hi team I'll be joining late by half an hour.,ham
Want one more prepaid SIM? Don't miss out on unlimited 5G data and complimentary 1 month subscription of 17+ OTTs with your new SIM activation! Get home delivery at NO EXTRA COST. Click here i.airtel.in/prepaid50,spam
 https,ham
"Yayy! We've activated FREE CLASSIC membership of Vi Movies & TV with your Vi recharge. SunNxt, ZEE5, Voot series, movies & more unlocked! Click bit.ly/Vi-mv34",spam
Bigg Boss chaahte hain! Recharge with Vi Unlimited249 or more Daily Data pack to watch BIGG BOSS OTT on Vi Movies&TV App at NO EXTRA COST! Click bit.ly/ViTVBB,spam
"FREE DATA ALERT! Avail 2GB FREE data on your next Airtel Recharge on Airtel Thanks App. Download today, T&C i.airtel.in/free_2GBdata",spam
 Or chennai ?,ham
"Your Airtel SIM is 5G ready. Check now if your Smartphone is 5G enabled.
Click i.airtel.in/e/airtel5G",spam
 Thank you I'll buy in now,ham
" Not locked kk, says blocked",ham
 Okay,ham
3,ham
 There are many knowledge points that need to be learned slowly,ham
 Your wish is difficult to achieve,ham
"Hello! We are now on Whatsapp! For Best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",spam
 Then its not blocked as far as I understand,ham
 Happy New Year to all,ham
Want Unlimited high speed data? Join Vi Postpaid on Entertainment plus 699 plan to enjoy unlimited high speed data & calls with 1 year subscription of Amazon prime and Diney+ Hotstar VIP. To know more walk-in to nearest Vi store or give us a call to 97451 97450. You can also order online click  http://bit.ly/3amKf1E ,spam
"1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days of DTH. Switch to Airtel Black now, call 8826655555 or click i.airtel.in/blackPreDTH",spam
" Hi Team, I'll join by 30 mins late..",ham
 Shakthi Vishnu as well,ham
"Just for you: get 10% OFF on 4 orders! Get groceries, fruits, veggies, & meat delivered home in <45 mins. Click: http://bit.ly/DunzoApp",spam
" Team, Wifi router is not working trying to fix it will be back soon",ham
50% ALERT: data is consumed. Get 5GB data topup at just Rs98 ö valid till your current pack. Click i.airtel.in/Get-Data,spam
 Taking time,ham
""" Due to the lack of significant domestic triggers, investors are now paying more attention to the movements of the global market. Although the mid-term recovery of the US market has brought some relief, the continuous pressure on some industry heavyweight stocks has limited the strength of the recovery. In the current situation of uncertain prospects, we recommend maintaining a cautious stance and adopting hedging strategies until the next trend of the marketÂ becomesÂ clearer""",ham
" The current market performance is neutral, so please don't lose confidenceâ",ham
"Dear Customer, R&B-Dubai's Favourite Fashion Brand now at Hennur Main Road, Opp McDonald's, Bengaluru. Get Free Duffle Bag worth 2999 on shopping for 3499. T&C.",spam
 Hi team todays team meeting is must attend for all as discussed and agreed please make sure everyone join the meeting,ham
 I've sent it to you privately Thank you,ham
 So you mean to say chandler tunnels should not be up ?,ham
Lenskart Diwali Sale is now live! Enjoy Buy 1 Get 1 Free with upto 40% Off on the trendiest styles.TnC  Visit your nearest store lskt.me/u4 now!,spam
 No*,ham
"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/Inactive",spam
"Win KIA Sonet Car 
Q1.Who is the prime minister of India? 
A) Narendra Modi 
B) Rahul
Reply A/B @Rs.5/Ans or Click http://bit.ly/playnwins",spam
 Subject line is ECL.. U CAN start fresh email with him for DAL,ham
 Restarting laptop,ham
 It's in Koramangala near Forum mall,ham
Hurry!!! Limited Period Offer!!! Shop at your nearest Reliance Smart Point & avail exciting offers on medicines at Netmeds Pharmacy Store. T&C,spam
 I've sold everything Thank you Mr Arvind Singhð,ham
"Dear Denima, Hope you enjoyed your shopping at Lifestyle! Click To View Your e-invoice knvl.me/AyV2lCmtIJ",spam
 @512.90 purchase 100 shares,ham
"Dunzo Daily follows Puneeth's advice: if it comes tomorrow, it's too late! With 50% OFF & FREE delivery, get grocery in 19 min! dunzo.onelink.me/jWqC/Home",spam
 Hopefully the market will rise on Friday,ham
 2. Trend Price Trading,ham
"Jeans !! Every pair tells a story, makes a statement or even has its unique flare.
Shop at the Pantaloons Denim Mania to find a pair that tells your story or marks your style
Check out the latest shoppable catalogue, click tltx.in/s3k9J or simply visit our store
See you this weekend at Pantaloons!!",spam
 Hi All,ham
 Joining in 2 mins ty,ham
 Irrespective of shift timing this is mandatory for everyone,ham
 I believe the Indian stock market will take off. I will remain patient and wait for the next instruction from Mr.,ham
"Yayy! We've activated FREE CLASSIC membership of Vi Movies & TV with your Vi recharge. SunNxt, ZEE5, Voot series, movies & more unlocked!Click bit.ly/Vi-mv34",spam
"Watch MasterChef Hindi S2 for free!
Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE!
Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more!
Limited time offer. Click Below!
https://open.airtelxstream.in/WatchForFree-sms",spam
 The trend is still moving upward so Iâd like to continue holding and see how it develops,ham
" Nifty has risen to 24160, the master's prediction should be correctð",ham
 I have known the professor for a long time,ham
 +918979018080.vcf (file attached),ham
 Thankð,ham
 Yes same to me,ham
 ?image omitted,ham
"7 days left to save your Insider membership
It was a pleasure having you as an Insider & we'd like that to continue
Click to know more
http://smsd.in/bl2mKc9UT",spam
You have a SURPRISE OFFER waiting in your AJIO cart for the next few hours. Shop your faves before the stock runs out! HURRY https://bit.ly/3svsM0j,spam
 Why it is late ?,ham
" I am not comforting you because the stocks I recommended recently suffered a floating loss, but because I treat every member as a friendð",ham
No data limit worries with Airtel's new data pack! Recharge with Rs.49 data pack and get unlimited data for one day. Click i.airtel.in/PP49,spam
 How to get it,ham
 Good nees,ham
 The Federal Reserve has access to even more data and they certainly know the true situation of inflation,ham
" The market is volatile at the moment, so the most stable investment method is",ham
 Whatever whoever is giving kt can you ensure that you adapt this model,ham
Get subscription of Amazon Prime & Disney+ Hotstar + FREE 30 days of new service with Airtel Black. Click i.airtel.in/blackPreDSL,spam
Don't miss out on up to 1 Gbps speed & uninterrupted streaming. Switch to Airtel Xstream Fiber and get FREE router. T&C. Click u.airtel.in/unlimiteddata11,spam
 ?image omitted,ham
 Just wait for the upcoming announcements,ham
"Unlimited 5G data + 22 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7
T&C Apply.",spam
Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat,spam
" To be honest, I donât even know the stocks I bought, and sometimes I even remember their names wrong.",ham
 Iâm looking forward to your performance even more after the competition starts.,ham
"Welcome to Airtel! To complete your activation journey & start voice and data services, download & register on Airtel Thanks app NOW. Also avail exciting offers and rewards. If you already have Airtel Thanks app on your phone, add your new number in the App in ""Manage Account/Add New Account"" section. Download NOW: https://airtel.in/5/",spam
 No power in Laptop,ham
 Ok,ham
" For outlook, I can only open but further I can't read any mail",ham
 Yes,ham
 Hi team tomorrow audit team,ham
 Joined,ham
 ????,ham
 Here what's happening is we can't access mail,ham
 Thanks Imtiyaz for the update,ham
" âï¸The table below shows annualized excess return following RSI momentum signals. The figures are based on the quarterly figures, i.e. excess return 66 days (3 months) after the signal was triggered.",ham
"Play FREE Rummy & Win Rs.2,00,000 today on Junglee Rummy!

Also, Get Rs.5500 Welcome Bonus on first deposit!

Download the app now:
https://bit.ly/2Zz0a9Z",spam
 Thank you buddy,ham
 Happy Pongal,ham
"Don't miss out on FREE rewards on your next recharge. Download Airtel Thanks App to avail amazing rewards. To download, click i.airtel.in/Download_Thanks",spam
" I am not making excuses or bragging. The stock selection and selling trading skills we are learning now are just regular trading skills (BOLL, MACD)",ham
"Dear Customer,
Your order will be delivered on 29 May 2021 between 12:00 pm to 04:00 pm.
Please ensure the order is prepaid and keep a bag outside for a no contact & hassle free delivery.

Thanks,
Team bigbasket",spam
" This afternoon is crucial. Can Nifty rise sharply? Can the ""holiday effect"" appear? Will there be an adjustment after the holiday? All of these are related to the trend this afternoon. We must be prepared for both situations. ",ham
 ððThank you,ham
" I think Mr.'s approach is very sensible. When the stock market is not doing well, Mr. obviously reduces the frequency of transactions.",ham
4,ham
 Ok sirð,ham
 I will definitely inform earlier,ham
 Determined ð,ham
 Hi team ,ham
 ?image omitted,ham
" Ok, Thanks imtiyaz for update",ham
50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
 But no access to outlook mail server,ham
"Enjoy Upto 70% OFF on your favourite brands at MEGA BARGAIN DAYS only at shoppersstop.com till 30-Sept 2021
Click bit.ly/SS_mbd to shop Handbags, Footwear & Accessories + use code PVT25K & get 10% OFF on Rs.2500.
Get exciting offers on shopping of Rs.5000 or more. Click bit.ly/SStcP21 for details. T&C",spam
Congratulations! Your smartphone deserves a 5G ready network. Order Airtel prepaid SIM online & get it delivered at home at no extra cost Click i.airtel.in/awj,spam
 That's what I said ??,ham
"OMG..The biggest offer of the season is here at MAX Fashion!

EVERYTHING @FLAT 50% OFF!!
Get FLAT 50% OFF on ENTIRE SALE merchandise
ONLY till Sunday
Rush!
TnC",spam
 Happy 2021,ham
 ??????,ham
" The market rose in the afternoon, but not particularly significantly.",ham
"Wanderlust calling!

Seaside paradise or Mountain Get-aways
Nature trails or Romantic rides

Its time to immerse into ur dreamland
Its time to WEAR YOUR HOLIDAY with Pantaloons

Visit a Pantaloons store or shop online & get EaseMyTrip vouchers worth Rs3000 on shopping of Rs3000
Click tltx.in/rXHtl
TC",spam
"Don't miss out on Airtel Thanks App benefits with your existing pack/plan at no extra cost!
Claim on Airtel Thanks App today i.airtel.in/app_benefits8",spam
 Understanding MACD,ham
 Stock market weighting refers to the degree of influence each stock has on a particular market index. Weighting usually reflects factors such as the stock's market capitalization or liquidity,ham
FREEDOM from monthly recharge! Vi2595 offers 1 FULL year Disney+ Hotstar VIP+1.5GB/Day+Unlimited Calls! Enjoy Weekend rollover & Night Data. bit.ly/ViHotstar1,spam
""" This concludes tonight's review and analysis. Since Professor Anand Selvakesari is still attending a meeting, I will continue with the course tonight. We will be discussing the Fibonacci retracement line, a widely used trading indicator in stock market analysis. This indicator can help us identify the best buying opportunities when stock prices retrace.""",ham
""" Good afternoon, investors. The market has now closed, so let's do a brief summary.""",ham
"Thanks for showing interest in Consumer Durable Finance!
Click bit.ly/2KPEdMg to see more delightful offers we have in store for you.
Bajaj Finance Ltd",spam
 Yes the market rally failed today due to the allegations in the Hindenburg reportð,ham
 Everything will be alright,ham
 Congratulations on making a profit,ham
 ??,ham
 I hope the professor continues to recommend such strong stocks,ham
" US markets closed on a higher note on Thursday as investors were relieved by the encouraging consumer and labor data, which helped to ease down recession worries. The broader market index, the S&P 500, closed 1.61% higher at 5,543.22. Similarly, the tech-heavy Nasdaq Composite advanced 2.34% to settle at 17,594.50. The Dow Jones Industrial Average added 554 points, or 1.39%, to end at 40,563.06.",ham
Hello Your Unlimited pack MRP is expiring on2021-02-19 00:00:00.Now recharge from  home with App  Click http://bit.ly/GetMVA4,spam
 https,ham
Top trending callertunes for your callers. Just download Vi Callertune APP and set your callertune. Click bit.ly/APP-CT,spam
 Ok,ham
 Could be some problem with o365,ham
 K,ham
" Recent market conditions have been unstable, leading to a reduction in our previous profits. Don't be discouraged; Professor Sohan Sharma will also adjust the strategies accordingly. Although the market will be closed tomorrow, the MACD technical indicator sharing I mentioned earlier will proceed as scheduled. Please stay tuned, and let's not miss it tomorrow night.",ham
 It's good and I am able to work since 15mins,ham
Bigg Boss chaahte hain! Recharge with Vi Unlimited249 or more Daily Data pack to watch BIGG BOSS on Vi Movies&TV App at NO EXTRA COST! Click bit.ly/ViTVBB,spam
" Indeed, understanding the characteristics and risks of various investment products is very important, but not all products need to be participated in",ham
Watch the India vs Srilanka series LIVE on Sonyliv with Airtel Xstream Play. Click to watch - open.airtelxstream.in/Cheer_for_India,spam
 But today us cpi will also affect chances are their the market may affect by it,ham
 For the aspirants in our team,ham
 Outlook for August 16,ham
 Please acknowledge my message as well,ham
 24000 ce and 24000 pe both are will be 0 today expiry contract in nifty because i think nifty close around 24000 level,ham
 Which three?,ham
 You said above stmt  and after that no action from you,ham
 GRAPHITE is up 4% and I've already sold Thank you Professor,ham
In Light of Covid-19 we request you to avoid travel and recommend to use My Vodafone App. Click bit.ly/ViRchg14 to manage your mobile Account,spam
"Enjoy Truly unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C apply. Claim now u.airtel.in/PVME",spam
